release_date,movie,production_budget,worldwide_gross,title,studio,foreign_gross,year,_merge,domestic_gross,Movie_title
1992-07-31,Buffy the Vampire Slayer,7000000.0,14231669.0,,,0.0,1992,left_only,14231669.0,Buffy the Vampire Slayer
1999-08-25,In Too Deep,7000000.0,15471229.0,,,1444720.0,1999,left_only,14026509.0,In Too Deep
2003-04-11,"House of 1,000 Corpses",7000000.0,17005466.0,,,4370504.0,2003,left_only,12634962.0,"House of 1,000 Corpses"
1985-10-11,Silver Bullet,7000000.0,10803211.0,,,0.0,1985,left_only,10803211.0,Silver Bullet
2003-10-10,House of the Dead,7000000.0,13860078.0,,,3660724.0,2003,left_only,10199354.0,House of the Dead
2009-10-02,A Serious Man,7000000.0,30360570.0,,,21131782.0,2009,left_only,9228788.0,A Serious Man
2010-07-30,Get Low,7000000.0,10828305.0,Get Low,SPC,518000.0,2010.0,both,9176933.0,Get Low
2009-12-11,A Single Man,7000000.0,28142379.0,,,18966379.0,2009,left_only,9176000.0,A Single Man
1991-01-10,Warlock,7000000.0,8824553.0,,,0.0,1991,left_only,8824553.0,Warlock
1988-08-12,The Last Temptation of Christ,7000000.0,8373585.0,,,0.0,1988,left_only,8373585.0,The Last Temptation of Christ
2010-06-18,Cyrus,7000000.0,10062896.0,Cyrus,FoxS,2500000.0,2010.0,both,7468936.0,Cyrus
1999-09-01,Outside Providence,7000000.0,7824358.0,,,514730.0,1999,left_only,7309628.0,Outside Providence
2005-02-11,Bride & Prejudice,7000000.0,25269040.0,,,18667961.0,2005,left_only,6601079.0,Bride & Prejudice
2002-11-29,Rabbit-Proof Fence,7000000.0,16866928.0,,,10667328.0,2002,left_only,6199600.0,Rabbit-Proof Fence
2007-07-27,Who's Your Caddy?,7000000.0,5694308.0,,,0.0,2007,left_only,5694308.0,Who's Your Caddy?
1992-05-01,Split Second,7000000.0,5430822.0,,,0.0,1992,left_only,5430822.0,Split Second
1991-03-08,Nikita,7000000.0,5017971.0,,,0.0,1991,left_only,5017971.0,Nikita
2001-12-14,The Other Side of Heaven,7000000.0,4720371.0,,,0.0,2001,left_only,4720371.0,The Other Side of Heaven
1990-09-28,Dark Angel,7000000.0,4372561.0,,,0.0,1990,left_only,4372561.0,Dark Angel
1986-06-27,American Anthem,7000000.0,3571624.0,,,0.0,1986,left_only,3571624.0,American Anthem
2004-11-12,Veer-Zaara,7000000.0,7017859.0,,,4079327.0,2004,left_only,2938532.0,Veer-Zaara
2008-05-02,Redbelt,7000000.0,2667084.0,,,322237.0,2008,left_only,2344847.0,Redbelt
1999-08-27,A Dog of Flanders,7000000.0,2165637.0,,,0.0,1999,left_only,2165637.0,A Dog of Flanders
2002-10-18,Auto Focus,7000000.0,2703821.0,,,641755.0,2002,left_only,2062066.0,Auto Focus
2011-10-21,The Mighty Macs,7000000.0,1891936.0,,,0.0,2011,left_only,1891936.0,The Mighty Macs
2010-12-22,Somewhere,7000000.0,17023121.0,Somewhere,Focus,12200000.0,2010.0,both,1785645.0,Somewhere
2012-01-13,We Need to Talk About Kevin,7000000.0,10765283.0,We Need to Talk About Kevin,Osci.,4300000.0,2011.0,both,1738692.0,We Need to Talk About Kevin
2007-02-02,Factory Girl,7000000.0,1661464.0,,,0.0,2007,left_only,1661464.0,Factory Girl
2013-11-15,The Christmas Candle,7000000.0,1933829.0,The Christmas Candle,ELS,,2013.0,both,1632000.0,The Christmas Candle
2009-09-25,I Hope They Serve Beer in Hell,7000000.0,1429453.0,,,154.0,2009,left_only,1429299.0,I Hope They Serve Beer in Hell
1983-04-08,Losin' It,7000000.0,1246141.0,,,0.0,1983,left_only,1246141.0,Losin' It
2010-05-07,Mother and Child,7000000.0,6537179.0,Mother and Child,SPC,3900000.0,2010.0,both,1110509.0,Mother and Child
1977-08-05,March or Die,7000000.0,1000000.0,,,0.0,1977,left_only,1000000.0,March or Die
1996-07-12,Les Visiteurs,7000000.0,98754000.0,,,98095000.0,1996,left_only,659000.0,Les Visiteurs
2015-10-02,Freeheld,7000000.0,1732228.0,Freeheld,LGF,,2015.0,both,546201.0,Freeheld
2014-04-02,Dom Hemingway,7000000.0,1857458.0,Dom Hemingway,FoxS,,2014.0,both,523511.0,Dom Hemingway
2010-07-30,The Extra Man,7000000.0,492108.0,The Extra Man,Magn.,4500.0,2010.0,both,453377.0,The Extra Man
2011-05-13,Hesher,7000000.0,382946.0,Hesher,WHE,,2011.0,both,382946.0,Hesher
1998-03-13,Chairman of the Board,7000000.0,306715.0,,,0.0,1998,left_only,306715.0,Chairman of the Board
2003-02-14,Gerry,7000000.0,719699.0,,,465016.0,2003,left_only,254683.0,Gerry
2006-05-12,Wah-Wah,7000000.0,463039.0,,,228289.0,2006,left_only,234750.0,Wah-Wah
2003-06-13,The Heart of Me,7000000.0,196067.0,,,0.0,2003,left_only,196067.0,The Heart of Me
2015-01-30,Trudno byt bogom,7000000.0,41038.0,,,9595.0,2015,left_only,31443.0,Trudno byt bogom
2000-01-21,The Boondock Saints,7000000.0,411874.0,,,381403.0,2000,left_only,30471.0,The Boondock Saints
2014-01-28,Snezhnaya koroleva,7000000.0,15193977.0,,,15193977.0,2014,left_only,0.0,Snezhnaya koroleva
2016-12-06,Oddball,7000000.0,10237229.0,,,10237229.0,2016,left_only,0.0,Oddball
2015-08-18,Z Storm,7000000.0,2053330.0,,,2053330.0,2015,left_only,0.0,Z Storm
2015-12-31,Geroy,7000000.0,1545121.0,,,1545121.0,2015,left_only,0.0,Geroy
2013-07-23,Twixt,7000000.0,1268346.0,,,1268346.0,2013,left_only,0.0,Twixt
2015-11-20,Criminal Activities,7000000.0,386744.0,,,386744.0,2015,left_only,0.0,Criminal Activities
2007-12-11,High School Musical 2,7000000.0,0.0,,,0.0,2007,left_only,0.0,High School Musical 2
2008-12-12,The Kings of Appletown,7000000.0,0.0,,,0.0,2008,left_only,0.0,The Kings of Appletown
2008-03-11,Stargate - The Ark of Truth,7000000.0,0.0,,,0.0,2008,left_only,0.0,Stargate - The Ark of Truth
2015-09-01,Alpha & Omega: The Legend of the Saw Tooth Cave,7000000.0,0.0,,,0.0,2015,left_only,0.0,Alpha & Omega: The Legend of the Saw Tooth Cave
1985-06-28,Pale Rider,6900000.0,41410568.0,,,0.0,1985,left_only,41410568.0,Pale Rider
2012-09-21,House at the End of the Street,6900000.0,44103982.0,,,12492066.0,2012,left_only,31611916.0,House at the End of the Street
1993-09-24,Dazed and Confused,6900000.0,7950889.0,,,0.0,1993,left_only,7950889.0,Dazed and Confused
2017-01-31,Two Lovers and a Bear,6840000.0,22273.0,,,22273.0,2017,left_only,0.0,Two Lovers and a Bear
2010-09-17,Incendies,6800000.0,16038343.0,,,9181247.0,2010,left_only,6857096.0,Incendies
2000-08-11,AimÃ©e & Jaguar,6800000.0,927107.0,,,0.0,2000,left_only,927107.0,AimÃ©e & Jaguar
2005-08-05,The Chumscrubber,6800000.0,49526.0,,,0.0,2005,left_only,49526.0,The Chumscrubber
2004-04-09,Shade,6800000.0,9533964.0,,,9508932.0,2004,left_only,25032.0,Shade
2010-09-10,Bran Nue Dae,6750000.0,6812530.0,,,6698962.0,2010,left_only,113568.0,Bran Nue Dae
2004-09-03,"Remember Me, My Love",6700000.0,223878.0,,,0.0,2004,left_only,223878.0,"Remember Me, My Love"
2010-05-21,Perrierâs Bounty,6600000.0,828.0,,,0.0,2010,left_only,828.0,Perrierâs Bounty
2008-09-19,Tropa de Elite,6537890.0,14319195.0,,,14310451.0,2008,left_only,8744.0,Tropa de Elite
2014-10-03,Annabelle,6500000.0,256862920.0,Annabelle,WB (NL),172800000.0,2014.0,both,84273813.0,Annabelle
2008-02-01,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000.0,70712099.0,,,5430318.0,2008,left_only,65281781.0,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour
1991-07-12,Boyz n the Hood,6500000.0,56215095.0,,,25001.0,1991,left_only,56190094.0,Boyz n the Hood
1987-07-24,La Bamba,6500000.0,54215416.0,,,0.0,1987,left_only,54215416.0,La Bamba
1981-05-22,The Four Seasons,6500000.0,42488161.0,,,0.0,1981,left_only,42488161.0,The Four Seasons
1980-01-01,Dressed to Kill,6500000.0,31899000.0,,,0.0,1980,left_only,31899000.0,Dressed to Kill
1993-04-02,The Adventures of Huck Finn,6500000.0,24103594.0,,,0.0,1993,left_only,24103594.0,The Adventures of Huck Finn
1999-04-09,Go!,6500000.0,28383441.0,,,11508168.0,1999,left_only,16875273.0,Go!
2006-04-07,Friends with Money,6500000.0,18110152.0,,,4741715.0,2006,left_only,13368437.0,Friends with Money
1971-01-01,The Andromeda Strain,6500000.0,12376563.0,,,0.0,1971,left_only,12376563.0,The Andromeda Strain
1999-10-22,Bats,6500000.0,10155691.0,,,0.0,1999,left_only,10155691.0,Bats
2017-10-20,Same Kind of Different as Me,6500000.0,6423605.0,,,0.0,2017,left_only,6423605.0,Same Kind of Different as Me
2003-03-07,Nowhere in Africa,6500000.0,6173485.0,,,0.0,2003,left_only,6173485.0,Nowhere in Africa
2011-12-02,Shame,6500000.0,20412841.0,Shame,FoxS,13800000.0,2011.0,both,4002293.0,Shame
2005-05-13,Layer Cake,6500000.0,11745931.0,,,9405974.0,2005,left_only,2339957.0,Layer Cake
2013-05-31,The East,6500000.0,3027956.0,The East,FoxS,99700.0,2013.0,both,2274649.0,The East
2005-10-21,The Work and the Glory: American Zion,6500000.0,2025032.0,,,0.0,2005,left_only,2025032.0,The Work and the Glory: American Zion
2009-11-13,The Messenger,6500000.0,1744952.0,,,635292.0,2009,left_only,1109660.0,The Messenger
2004-07-23,A Home at the End of the World,6500000.0,1033810.0,,,4793.0,2004,left_only,1029017.0,A Home at the End of the World
2001-08-17,Aberdeen,6500000.0,64148.0,,,0.0,2001,left_only,64148.0,Aberdeen
2011-12-31,Tracker,6500000.0,3149.0,,,3149.0,2011,left_only,0.0,Tracker
1984-10-26,The Terminator,6400000.0,78019031.0,,,40000000.0,1984,left_only,38019031.0,The Terminator
2004-02-27,"Good Bye, Lenin!",6400000.0,79384539.0,,,75320680.0,2004,left_only,4063859.0,"Good Bye, Lenin!"
2007-10-10,Control,6400000.0,8902141.0,,,8030564.0,2007,left_only,871577.0,Control
2009-10-09,The Damned United,6400000.0,4199874.0,,,3750009.0,2009,left_only,449865.0,The Damned United
2008-02-22,Die FÃ¤lscher,6250000.0,20199663.0,,,14711093.0,2008,left_only,5488570.0,Die FÃ¤lscher
1988-01-15,Return of the Living Dead Part II,6200000.0,9205924.0,,,0.0,1988,left_only,9205924.0,Return of the Living Dead Part II
2009-02-13,Gomorra,6200000.0,37339594.0,,,35760448.0,2009,left_only,1579146.0,Gomorra
1995-10-20,Mallrats,6100000.0,2108367.0,,,0.0,1995,left_only,2108367.0,Mallrats
1978-06-16,Grease,6000000.0,387510179.0,,,205696409.0,1978,left_only,181813770.0,Grease
1986-12-19,Platoon,6000000.0,137978395.0,,,15067.0,1986,left_only,137963328.0,Platoon
2004-06-23,Fahrenheit 9/11,6000000.0,221148959.0,,,102034442.0,2004,left_only,119114517.0,Fahrenheit 9/11
1969-10-24,Butch Cassidy and the Sundance Kid,6000000.0,102310653.0,,,1753.0,1969,left_only,102308900.0,Butch Cassidy and the Sundance Kid
1964-08-26,Mary Poppins,6000000.0,102272145.0,,,0.0,1964,left_only,102272145.0,Mary Poppins
1980-09-19,Ordinary People,6000000.0,52302978.0,,,0.0,1980,left_only,52302978.0,Ordinary People
2018-05-11,Breaking In,6000000.0,51411620.0,,,4571030.0,2018,left_only,46840590.0,Breaking In
1961-10-18,West Side Story,6000000.0,43700000.0,,,0.0,1961,left_only,43700000.0,West Side Story
1980-07-25,Caddyshack,6000000.0,39846344.0,,,0.0,1980,left_only,39846344.0,Caddyshack
2001-03-23,The Brothers,6000000.0,27958191.0,,,500782.0,2001,left_only,27457409.0,The Brothers
2008-12-17,The Wrestler,6000000.0,46634275.0,,,20396032.0,2008,left_only,26238243.0,The Wrestler
1989-06-30,Do the Right Thing,6000000.0,26004026.0,,,0.0,1989,left_only,26004026.0,Do the Right Thing
1981-07-10,Escape from New York,6000000.0,25245925.0,,,1225.0,1981,left_only,25244700.0,Escape from New York
1999-07-16,The Wood,6000000.0,25059640.0,,,0.0,1999,left_only,25059640.0,The Wood
1995-08-16,The Usual Suspects,6000000.0,34449356.0,,,11107788.0,1995,left_only,23341568.0,The Usual Suspects
1989-08-11,A Nightmare On Elm Street: The Dream Child,6000000.0,22168359.0,,,0.0,1989,left_only,22168359.0,A Nightmare On Elm Street: The Dream Child
