release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
1989-05-24,48000000.0,474171806.0,,277000000.0,1989,left_only,197171806.0,Indiana Jones and the Last Crusade,tt0097576,127,8.2,672359.0,,,both
2002-05-03,139000000.0,821706375.0,,418000000.0,2002,left_only,403706375.0,Spider-Man,tt0145487,121,7.3,671854.0,,,both
2014-11-28,15000000.0,227740463.0,Wein.,142400000.0,2014.0,both,91125143.0,The Imitation Game,tt2084970,114,8.0,662479.0,48.0,48.0,both
1987-06-26,30000000.0,45015999.0,,0.0,1987,left_only,45015999.0,Full Metal Jacket,tt0093058,116,8.3,653017.0,46.0,46.0,both
2012-11-16,21000000.0,236412453.0,Wein.,104300000.0,2012.0,both,132092958.0,Silver Linings Playbook,tt1045658,122,7.7,648100.0,50.0,50.0,both
2010-03-26,165000000.0,494870992.0,P/DW,277300000.0,2010.0,both,217581232.0,How to Train Your Dragon,tt0892769,98,8.1,647425.0,50.0,50.0,both
2014-05-23,200000000.0,747862775.0,Fox,513900000.0,2014.0,both,233921534.0,X-Men: Days of Future Past,tt1877832,132,8.0,647347.0,48.0,48.0,both
2004-11-05,92000000.0,614726752.0,,353285660.0,2004,left_only,261441092.0,The Incredibles,tt0317705,115,8.0,639068.0,58.0,58.0,both
2016-05-06,250000000.0,1140069413.0,BV,745200000.0,2016.0,both,408084349.0,Captain America: Civil War,tt3498820,147,7.8,638899.0,51.0,51.0,both
1986-07-18,17000000.0,183316455.0,,98156207.0,1986,left_only,85160248.0,Aliens,tt0090605,137,8.3,635270.0,63.0,63.0,both
2011-06-03,160000000.0,355408305.0,Fox,207200000.0,2011.0,both,146408305.0,X-Men: First Class,tt1270798,131,7.7,634233.0,48.0,48.0,both
2009-08-14,30000000.0,212453431.0,,96807196.0,2009,left_only,115646235.0,District 9,tt1136608,112,7.9,627773.0,41.0,41.0,both
,,,Wein.,275400000.0,2010.0,right_only,,The King's Speech,tt1504320,118,8.0,624939.0,47.0,47.0,both
